full_name,Semi-Major Axis (AU),Eccentricity,Inclination (deg),Perihelion Dist. (AU),Aphelion Dist. (AU),Period (Years),Diamter (km),Rotational Period (h)
 10672 Kostyukova (1978 QE),3.029468463,0.1190858146,15.00797624,2.668701744,3.390235183,5.273001028,22.66,
 10714 (1983 QG),2.643878513,0.3450155691,14.30724949,1.731699264,3.556057763,4.299029698,10.91,
 10748 (1989 CE8),2.7299641,0.0912659,9.4673,2.4808115,2.9791167,4.510696662,14.61,
 10766 (1990 UB1),3.1420444,0.1572068,14.78918,2.6480937,3.6359951,5.569634387,28.13,
 10784 Noailles (1991 RQ11),2.6229054,0.0423729,15.9379,2.5117653,2.7340455,4.247976806,15.79,
 10889 (1997 AO1),3.929647349,0.06673139636,5.196303412,3.667416494,4.191878203,7.790019939,33.2,
 10944 (1999 FJ26),2.5427834,0.1703128,4.27416,2.1097148,2.975852,4.054826254,15.71,
 10946 (1999 HR2),2.85579715,0.2145828105,15.91583241,2.242992171,3.468602128,4.826132442,16.01,
 11004 Stenmark (1980 FJ1),3.2254517,0.1568237,16.72493,2.7196244,3.731279,5.792872954,24.24,
 11096 (1994 RU1),3.148235011,0.2434757991,17.01783994,2.381715976,3.914754046,5.586102736,13.25,
 11179 (1998 FB109),2.5499175,0.0839461,5.4752,2.3358619,2.7639731,4.071902709,19.04,
 11195 Woomera (1999 AY22),2.323377086,0.1137334866,3.057314512,2.059131309,2.587622862,3.54150415,11.62,
 11221 (1999 JO26),3.2161267,0.1116301,12.5597,2.8571102,3.5751432,5.767769907,18.2,
 11232 (1999 JA77),3.1844518,0.0758134,11.32876,2.9430277,3.4258759,5.682771999,24.71,
 11313 Kugelgen (1994 GE10),2.424056516,0.04160793787,1.158046967,2.323196523,2.524916508,3.774177434,17.88,
 11351 (1997 TS25),5.272817448,0.06571588199,11.56463176,4.926309599,5.619325297,12.10799703,42.16,
 11386 (1998 TA18),2.3507113,0.2762939,6.86584,1.7012241,3.0001985,3.604185568,11.84,
 11395 (1998 XN77),5.214817496,0.06598775803,24.13572837,4.870703381,5.558931611,11.90876906,64.71,17.5
 11396 (1998 XZ77),5.212344986,0.06371983339,12.5839179,4.880215232,5.544474741,11.90030058,48.73,
 11542 Solikamsk (1992 SU21),3.955398623,0.2413113408,6.870953895,3.000916078,4.909881169,7.86671813,49.72,
 11569 Virgilsmith (1993 KB2),3.1043624,0.1653944,18.18438,2.5909182,3.6178066,5.469741683,30.31,
 11576 (1994 CL),2.418528684,0.1338877626,10.91251556,2.09471729,2.742340078,3.761274816,13.05,
 11645 (1997 BY1),2.550673733,0.1863404978,12.98470626,2.07537992,3.025967546,4.073714295,8.84,
 11990 (1995 WM6),2.6755209,0.176835,3.32642,2.2023952,3.1486466,4.376437488,10.89,
 12003 Hideosugai (1996 FM5),3.3644264,0.0926609,9.82687,3.0526756,3.6761772,6.171272948,29.07,
 12080 (1998 FC111),3.00818963,0.09309050581,9.028864941,2.728155736,3.288223524,5.21754276,24.42,
 12098 (1998 HV122),3.1049942,0.2131035,10.28281,2.4433091,3.7666793,5.471411684,17.81,
 12365 Yoshitoki (1993 YD),3.174952936,0.0286090916,14.80394202,3.084120416,3.265785455,5.657364228,27.53,
 12444 Prothoon (1996 GE19),5.2534585,0.0706705,30.8139,4.882194,5.624723,12.04137651,64.31,15.82
 12445 Sirataka (1996 HE2),3.1122623,0.0310348,10.09313,3.0156739,3.2088507,5.490633963,22.99,
 12481 Streuvels (1997 EW47),2.7804821,0.156391,9.11893,2.3456397,3.2153245,4.63647969,13.73,
 12583 Buckjean (1999 RC35),2.9837446,0.0687346,10.87037,2.7786581,3.1888311,5.154074444,25.76,
 12714 Alkimos (1991 GX1),5.2212571,0.0374013,9.50879,5.0259753,5.4165389,11.93083452,61.04,28.48
 12738 Satoshimiki (1992 AL),2.542396303,0.2869776283,13.29784115,1.812785442,3.272007164,4.053900403,13.57,8.7081
 12983 (1979 OH1),3.1864832,0.0666767,12.30323,2.974019,3.3989474,5.688210266,33.67,
 13124 (1994 PS),2.3481655,0.1088241,11.22358,2.0926285,2.6037025,3.598332148,12.94,
 13176 Kobedaitenken (1996 HE1),3.192487706,0.1373329769,18.70641806,2.754053865,3.630921546,5.704295989,28.68,
 13244 Dannymeyer (1998 MJ14),3.163861559,0.01178725422,19.51811988,3.126568319,3.2011548,5.627744991,31.63,
 13249 Marcallen (1998 MD38),2.6732784,0.169042,14.04607,2.2213821,3.1251747,4.370936263,20.55,
 13295 (1998 RE),3.144132523,0.09678395795,13.66939004,2.839830933,3.448434113,5.575187358,18.63,
 13426 (1999 VA25),2.2618328,0.2068634,5.53793,1.7939424,2.7297232,3.401722902,11.49,
 13737 (1998 RU76),2.3647297,0.251255,6.19991,1.7705795,2.9588799,3.636473891,10.06,
 13832 (1999 XR13),3.3702846,0.1129819,16.30349,2.9895034,3.7510658,6.187398104,38.93,
 13860 Neely (1999 XH143),3.112995512,0.1994942206,17.08943081,2.491970899,3.734020126,5.492574347,29.2,9.791
 13936 (1989 HC),3.206098995,0.00830685664,22.6237942,3.179466391,3.2327316,5.740815562,23.36,
 14012 Amedee (1993 XG),2.8686861,0.1257071,13.84088,2.5080719,3.2293003,4.858841662,13.62,
 14120 Espenak (1998 QJ54),2.3833713,0.0882412,5.9911,2.1730598,2.5936828,3.679558854,13.2,
 14208 (1999 CR64),2.5902231,0.1646346,12.78377,2.1637828,3.0166634,4.168827793,18.52,18.2
 14268 (2000 AK156),5.257469758,0.08948986586,14.96446975,4.786979495,5.727960022,12.05517106,57.54,
 14341 (1983 RV3),2.728590103,0.1682431751,5.424851913,2.26952344,3.187656765,4.507291556,13.79,
 14394 (1990 SP15),3.225170481,0.07271375424,15.64119784,2.990656227,3.459684735,5.792115541,24.1,
 14402 (1991 DB),1.715750715,0.4019613882,11.41648357,1.026085176,2.405416254,2.247447135,0.6,2.2656
 14569 (1998 QB32),3.9773824,0.2872919,10.89888,2.8347127,5.1200521,7.932392669,23.73,
 14612 Irtish (1998 SG164),3.1550266,0.0958383,7.31106,2.8526542,3.457399,5.604188811,25.24,
 14646 (1998 XO28),2.773613998,0.01369987621,3.082900677,2.73561583,2.811612167,4.619311324,25.92,
 14651 (1998 YE5),3.163525,0.1890717,2.75815,2.565392,3.761658,5.626847128,17.58,
 14705 (2000 CG2),2.773826573,0.1718813403,13.01792426,2.297057544,3.250595602,4.619842383,12.9,
 14736 (2000 DW97),3.057751051,0.1389276624,9.230649048,2.632944846,3.482557257,5.347014829,17.64,
 14822 (1984 SR5),3.243086026,0.1060833404,5.447188982,2.899048627,3.587123425,5.840444558,30.68,
 14827 Hypnos (1986 JK),2.842630459,0.6651055483,1.98080485,0.9519811689,4.73327975,4.792794521,0.9,
 15161 (2000 FQ48),3.210732295,0.2079476979,18.17712015,2.543067906,3.878396684,5.753264581,25.34,6.663
 15269 (1990 XF),2.551149961,0.2041124149,11.00724511,2.030428582,3.07187134,4.074855233,11.17,26.708
 15278 Paquet (1991 PG7),3.9930939,0.217107,9.2867,3.1261653,4.8600225,7.979441532,34.66,
 15410 (1997 YZ),3.109717177,0.09770374295,17.15579757,2.805886169,3.413548185,5.483900181,21.3,
 15436 (1998 VU30),5.207953544,0.04492473737,16.26554287,4.973987599,5.44191949,11.8852646,85.71,
 15440 (1998 WX4),5.301342329,0.02253295754,28.73577289,5.181887408,5.420797251,12.20638254,66.48,
